x,y,z,u,v,z,0.,0.,0.,0.,0.,0.
10.500,-8.000,0.000,4.181,-23.160,0.000,0.,0.,0.,0.,0.,0.
10.500,-7.000,0.000,3.651,-23.156,0.000,0.,0.,0.,0.,0.,0.
10.500,-6.000,0.000,3.123,-23.152,0.000,0.,0.,0.,0.,0.,0.
10.500,-5.000,0.000,2.599,-23.148,0.000,0.,0.,0.,0.,0.,0.
10.500,-4.000,0.000,2.076,-23.146,0.000,0.,0.,0.,0.,0.,0.
10.500,-3.000,0.000,1.556,-23.144,0.000,0.,0.,0.,0.,0.,0.
10.500,-2.000,0.000,1.036,-23.142,0.000,0.,0.,0.,0.,0.,0.
10.500,-1.000,0.000,0.518,-23.141,0.000,0.,0.,0.,0.,0.,0.
10.500,0.000,0.000,0.000,-23.141,0.000,0.,0.,0.,0.,0.,0.
10.500,1.000,0.000,-0.518,-23.141,0.000,0.,0.,0.,0.,0.,0.
10.500,2.000,0.000,-1.036,-23.142,0.000,0.,0.,0.,0.,0.,0.
10.500,3.000,0.000,-1.556,-23.144,0.000,0.,0.,0.,0.,0.,0.
10.500,4.000,0.000,-2.076,-23.146,0.000,0.,0.,0.,0.,0.,0.
10.500,5.000,0.000,-2.599,-23.148,0.000,0.,0.,0.,0.,0.,0.
10.500,6.000,0.000,-3.123,-23.152,0.000,0.,0.,0.,0.,0.,0.
10.500,7.000,0.000,-3.651,-23.156,0.000,0.,0.,0.,0.,0.,0.
10.500,8.000,0.000,-4.181,-23.160,0.000,0.,0.,0.,0.,0.,0.
10.500,9.000,0.000,-4.715,-23.165,0.000,0.,0.,0.,0.,0.,0.
10.500,10.000,0.000,-5.253,-23.171,0.000,0.,0.,0.,0.,0.,0.
10.500,11.000,0.000,-5.795,-23.177,0.000,0.,0.,0.,0.,0.,0.
10.500,12.000,0.000,-6.342,-23.184,0.000,0.,0.,0.,0.,0.,0.
11.500,-12.000,0.000,6.317,-22.633,0.000,0.,0.,0.,0.,0.,0.
11.500,-11.000,0.000,5.772,-22.625,0.000,0.,0.,0.,0.,0.,0.
11.500,-10.000,0.000,5.232,-22.618,0.000,0.,0.,0.,0.,0.,0.
11.500,-9.000,0.000,4.696,-22.612,0.000,0.,0.,0.,0.,0.,0.
11.500,-8.000,0.000,4.164,-22.606,0.000,0.,0.,0.,0.,0.,0.
11.500,-7.000,0.000,3.636,-22.601,0.000,0.,0.,0.,0.,0.,0.
11.500,-6.000,0.000,3.111,-22.597,0.000,0.,0.,0.,0.,0.,0.
11.500,-5.000,0.000,2.588,-22.593,0.000,0.,0.,0.,0.,0.,0.
11.500,-4.000,0.000,2.068,-22.590,0.000,0.,0.,0.,0.,0.,0.
11.500,-3.000,0.000,1.549,-22.588,0.000,0.,0.,0.,0.,0.,0.
11.500,-2.000,0.000,1.032,-22.586,0.000,0.,0.,0.,0.,0.,0.
11.500,-1.000,0.000,0.516,-22.585,0.000,0.,0.,0.,0.,0.,0.
11.500,0.000,0.000,0.000,-22.585,0.000,0.,0.,0.,0.,0.,0.
11.500,1.000,0.000,-0.516,-22.585,0.000,0.,0.,0.,0.,0.,0.
11.500,2.000,0.000,-1.032,-22.586,0.000,0.,0.,0.,0.,0.,0.
11.500,3.000,0.000,-1.549,-22.588,0.000,0.,0.,0.,0.,0.,0.
11.500,4.000,0.000,-2.068,-22.590,0.000,0.,0.,0.,0.,0.,0.
11.500,5.000,0.000,-2.588,-22.593,0.000,0.,0.,0.,0.,0.,0.
11.500,6.000,0.000,-3.111,-22.597,0.000,0.,0.,0.,0.,0.,0.
11.500,7.000,0.000,-3.636,-22.601,0.000,0.,0.,0.,0.,0.,0.
11.500,8.000,0.000,-4.164,-22.606,0.000,0.,0.,0.,0.,0.,0.
11.500,9.000,0.000,-4.696,-22.612,0.000,0.,0.,0.,0.,0.,0.
11.500,10.000,0.000,-5.232,-22.618,0.000,0.,0.,0.,0.,0.,0.
11.500,11.000,0.000,-5.772,-22.625,0.000,0.,0.,0.,0.,0.,0.
11.500,12.000,0.000,-6.317,-22.633,0.000,0.,0.,0.,0.,0.,0.
12.500,-12.000,0.000,6.289,-22.083,0.000,0.,0.,0.,0.,0.,0.
12.500,-11.000,0.000,5.746,-22.075,0.000,0.,0.,0.,0.,0.,0.
12.500,-10.000,0.000,5.209,-22.067,0.000,0.,0.,0.,0.,0.,0.
12.500,-9.000,0.000,4.675,-22.060,0.000,0.,0.,0.,0.,0.,0.
12.500,-8.000,0.000,4.146,-22.054,0.000,0.,0.,0.,0.,0.,0.
12.500,-7.000,0.000,3.620,-22.049,0.000,0.,0.,0.,0.,0.,0.
12.500,-6.000,0.000,3.097,-22.044,0.000,0.,0.,0.,0.,0.,0.
12.500,-5.000,0.000,2.577,-22.040,0.000,0.,0.,0.,0.,0.,0.
