#id,x,y,z,u,v,z
297,-20.00,-35.50,0.00,0.000,0.000,0.00
298,-20.00,-34.50,0.00,0.000,0.000,0.00
299,-20.00,-33.50,0.00,0.000,0.000,0.00
300,-20.00,-32.50,0.00,0.000,0.000,0.00
301,-20.00,-31.50,0.00,0.000,0.000,0.00
302,-20.00,-30.50,0.00,0.000,0.000,0.00
303,-20.00,-29.50,0.00,0.000,0.000,0.00
304,-20.00,-28.50,0.00,0.000,0.000,0.00
305,-20.00,-27.50,0.00,0.000,0.000,0.00
306,-20.00,-26.50,0.00,0.000,0.000,0.00
307,-20.00,-25.50,0.00,0.000,0.000,0.00
308,-20.00,-24.50,0.00,0.000,0.000,0.00
309,-20.00,-23.50,0.00,0.000,0.000,0.00
310,-20.00,-22.50,0.00,0.000,0.000,0.00
311,-20.00,-21.50,0.00,0.000,0.000,0.00
312,-20.00,-20.50,0.00,0.000,0.000,0.00
313,-20.00,-19.50,0.00,0.000,0.000,0.00
314,-20.00,-18.50,0.00,0.000,0.000,0.00
315,-20.00,-17.50,0.00,0.000,0.000,0.00
316,-20.00,-16.50,0.00,0.000,0.000,0.00
317,-20.00,-15.50,0.00,0.000,0.000,0.00
318,-20.00,-14.50,0.00,0.000,0.000,0.00
319,-20.00,-13.50,0.00,0.000,0.000,0.00
320,-20.00,-12.50,0.00,0.000,0.000,0.00
321,-20.00,-11.50,0.00,0.000,0.000,0.00
322,-20.00,-10.50,0.00,0.000,0.000,0.00
323,-20.00,-9.50,0.00,0.000,0.000,0.00
324,-20.00,-8.50,0.00,0.000,0.000,0.00
325,-20.00,-7.50,0.00,0.000,0.000,0.00
326,-20.00,-6.50,0.00,0.000,0.000,0.00
327,-20.00,-5.50,0.00,0.000,0.000,0.00
328,-20.00,-4.50,0.00,0.000,0.000,0.00
329,-20.00,-3.50,0.00,0.000,0.000,0.00
330,-20.00,-2.50,0.00,0.000,0.000,0.00
331,-20.00,-1.50,0.00,0.000,0.000,0.00
332,-20.00,-0.50,0.00,0.000,0.000,0.00
333,-20.00,0.50,0.00,0.000,0.000,0.00
334,-20.00,1.50,0.00,0.000,0.000,0.00
335,-20.00,2.50,0.00,0.000,0.000,0.00
336,-20.00,3.50,0.00,0.000,0.000,0.00
337,-20.00,4.50,0.00,0.000,0.000,0.00
338,-20.00,5.50,0.00,0.000,0.000,0.00
339,-20.00,6.50,0.00,0.000,0.000,0.00
340,-20.00,7.50,0.00,0.000,0.000,0.00
341,-20.00,8.50,0.00,0.000,0.000,0.00
342,-20.00,9.50,0.00,0.000,0.000,0.00
343,-20.00,10.50,0.00,0.000,0.000,0.00
