#id;x;y;vol
890;35.500;3.000;1.000
891;35.500;4.000;1.000
892;35.500;5.000;1.000
893;35.500;6.000;1.000
894;35.500;7.000;1.000
895;35.500;8.000;1.000
896;35.500;9.000;1.000
897;35.500;10.000;1.000
898;35.500;11.000;1.000
899;35.500;12.000;1.000
900;36.500;-12.000;1.000
901;36.500;-11.000;1.000
902;36.500;-10.000;1.000
903;36.500;-9.000;1.000
904;36.500;-8.000;1.000
905;36.500;-7.000;1.000
906;36.500;-6.000;1.000
907;36.500;-5.000;1.000
908;36.500;-4.000;1.000
909;36.500;-3.000;1.000
910;36.500;-2.000;1.000
911;36.500;-1.000;1.000
912;36.500;0.000;1.000
913;36.500;1.000;1.000
914;36.500;2.000;1.000
915;36.500;3.000;1.000
916;36.500;4.000;1.000
917;36.500;5.000;1.000
918;36.500;6.000;1.000
919;36.500;7.000;1.000
920;36.500;8.000;1.000
921;36.500;9.000;1.000
922;36.500;10.000;1.000
923;36.500;11.000;1.000
924;36.500;12.000;1.000
925;37.500;-12.000;1.000
926;37.500;-11.000;1.000
927;37.500;-10.000;1.000
928;37.500;-9.000;1.000
929;37.500;-8.000;1.000
930;37.500;-7.000;1.000
931;37.500;-6.000;1.000
932;37.500;-5.000;1.000
933;37.500;-4.000;1.000
934;37.500;-3.000;1.000
935;37.500;-2.000;1.000
936;37.500;-1.000;1.000
937;37.500;0.000;1.000
938;37.500;1.000;1.000
939;37.500;2.000;1.000
940;37.500;3.000;1.000
941;37.500;4.000;1.000
942;37.500;5.000;1.000
943;37.500;6.000;1.000
944;37.500;7.000;1.000
945;37.500;8.000;1.000
946;37.500;9.000;1.000
947;37.500;10.000;1.000
948;37.500;11.000;1.000
949;37.500;12.000;1.000
950;38.500;-12.000;1.000
951;38.500;-11.000;1.000
952;38.500;-10.000;1.000
953;38.500;-9.000;1.000
954;38.500;-8.000;1.000
955;38.500;-7.000;1.000
956;38.500;-6.000;1.000
957;38.500;-5.000;1.000
958;38.500;-4.000;1.000
959;38.500;-3.000;1.000
960;38.500;-2.000;1.000
961;38.500;-1.000;1.000
